% Man Tik Li
% abstract.arff
% INFO 371 - Data Mining Applications
% Domain-class:
% AI - Artificial Intelligence (Line 15 - 34)
% STAT - Statistics (Line 35 - 54)
% ENVS - Environment Science (Line 55 - 74)

@RELATION hw2-articles

@ATTRIBUTE abstract_col string
@ATTRIBUTE domain-class {AI, STAT, ENVS}

@Data
"Failure to come to grips with the “combinatorial explosion” was one of the main criti- cisms of AI contained in the Lighthill report (Lighthill, 1973), which formed the basis for the decision by the British government to end support for AI research in all but two universities. (Oral tradition paints a somewhat different and more colorful picture, with political ambitions and personal animosities whose description is beside the point.) A third difficulty arose because of some fundamental limitations on the basic structures being used to generate intelligent behavior. For example, Minsky and Papert’s book Percep- trons (1969) proved that, although perceptrons (a simple form of neural network) could be shown to learn anything they were capable of representing, they could represent very little. In particular, a two-input perceptron (restricted to be simpler than the form Rosenblatt originally studied) could not be trained to recognize when its two inputs were different. Although their results did not apply to more complex, multilayer networks, research funding for neural-net research soon dwindled to almost nothing. Ironically, the new back-propagation learning al- gorithms for multilayer networks that were to cause an enormous resurgence in neural-net research in the late 1980s were actually discovered first in 1969 (Bryson and Ho, 1969).",AI
"The picture of problem solving that had arisen during the first decade of AI research was of a general-purpose search mechanism trying to string together elementary reasoning steps to find complete solutions. Such approaches have been called weak methods because, although general, they do not scale up to large or difficult problem instances. The alternative to weak methods is to use more powerful, domain-specific knowledge that allows larger reasoning steps and can more easily handle typically occurring cases in narrow areas of expertise. One might say that to solve a hard problem, you have to almost know the answer already. The DENDRAL program (Buchanan et al., 1969) was an early example of this approach. It was developed at Stanford, where Ed Feigenbaum (a former student of Herbert Simon), Bruce Buchanan (a philosopher turned computer scientist), and Joshua Lederberg (a Nobel laureate geneticist) teamed up to solve the problem of inferring molecular structure from the information provided by a mass spectrometer. The input to the program consists of the ele- mentary formula of the molecule (e.g., C6H13NO2) and the mass spectrum giving the masses of the various fragments of the molecule generated when it is bombarded by an electron beam. For example, the mass spectrum might contain a peak at m = 15, corresponding to the mass of a methyl (CH3) fragment.",AI
"Species (1997) suggests that this is the defining characteristic of humans—but the most ar- dent connectionists questioned whether symbol manipulation had any real explanatory role in detailed models of cognition. This question remains unanswered, but the current view is that connectionist and symbolic approaches are complementary, not competing. As occurred with the separation of AI and cognitive science, modern neural network research has bifurcated into two fields, one concerned with creating effective network architectures and algorithms and understanding their mathematical properties, the other concerned with careful modeling of the empirical properties of actual neurons and ensembles of neurons. In the early period of AI it seemed plausible that new forms of symbolic computation, e.g., frames and semantic networks, made much of classical theory obsolete. This led to a form of isolationism in which AI became largely separated from the rest of computer science. This isolationism is currently being abandoned. There is a recognition that machine learning should not be isolated from information theory, that uncertain reasoning should not be isolated from stochastic modeling, that search should not be isolated from classical optimization and control, and that automated reasoning should not be isolated from formal methods and static analysis.",AI
"Judea Pearl’s (1988) Probabilistic Reasoning in Intelligent Systems led to a new accep- tance of probability and decision theory in AI, following a resurgence of interest epitomized by Peter Cheeseman’s (1985) article “In Defense of Probability.” The Bayesian network formalism was invented to allow efficient representation of, and rigorous reasoning with, uncertain knowledge. This approach largely overcomes many problems of the probabilistic reasoning systems of the 1960s and 1970s; it now dominates AI research on uncertain reason- ing and expert systems. The approach allows for learning from experience, and it combines the best of classical AI and neural nets. Work by Judea Pearl (1982a) and by Eric Horvitz and David Heckerman (Horvitz and Heckerman, 1986; Horvitz et al., 1986) promoted the idea of normative expert systems: ones that act rationally according to the laws of decision theory and do not try to imitate the thought steps of human experts. The WindowsTM operating sys- tem includes several normative diagnostic expert systems for correcting problems. Chapters 13 to 16 cover this area. Similar gentle revolutions have occurred in robotics, computer vision, and knowledge representation. A better understanding of the problems and their complexity properties, com- bined with increased mathematical sophistication, has led to workable research agendas and robust methods. Although increased formalization and specialization led fields such as vision and robotics to become somewhat isolated from “mainstream” AI in the 1990s, this trend has reversed in recent years as tools from machine learning in particular have proved effective for many problems. The process of reintegration is already yielding significant benefits",AI
"One consequence of trying to build complete agents is the realization that the previously isolated subfields of AI might need to be reorganized somewhat when their results are to be tied together. In particular, it is now widely appreciated that sensory systems (vision, sonar, speech recognition, etc.) cannot deliver perfectly reliable information about the environment. Hence, reasoning and planning systems must be able to handle uncertainty. A second major consequence of the agent perspective is that AI has been drawn into much closer contact with other fields, such as control theory and economics, that also deal with agents. Recent progress in the control of robotic cars has derived from a mixture of approaches ranging from better sensors, control-theoretic integration of sensing, localization and mapping, as well as a degree of high-level planning. Despite these successes, some influential founders of AI, including John McCarthy (2007), Marvin Minsky (2007), Nils Nilsson (1995, 2005) and Patrick Winston (Beal and Winston, 2009), have expressed discontent with the progress of AI. They think that AI should put less emphasis on creating ever-improved versions of applications that are good at a spe- cific task, such as driving a car, playing chess, or recognizing speech. Instead, they believe AI should return to its roots of striving for, in Simon’s words, “machines that think, that learn and that create.” They call the effort human-level AI or HLAI; their first symposium was in 2004 (Minsky et al., 2004). The effort will require very large knowledge bases; Hendler et al. (1995) discuss where these knowledge bases might come from.",AI
"Throughout the 60-year history of computer science, the emphasis has been on the algorithm as the main subject of study. But some recent work in AI suggests that for many problems, it makes more sense to worry about the data and be less picky about what algorithm to apply. This is true because of the increasing availability of very large data sources: for example, trillions of words of English and billions of images from the Web (Kilgarriff and Grefenstette, 2006); or billions of base pairs of genomic sequences (Collins et al., 2003). One influential paper in this line was Yarowsky’s (1995) work on word-sense disam- biguation: given the use of the word “plant” in a sentence, does that refer to flora or factory? Previous approaches to the problem had relied on human-labeled examples combined with machine learning algorithms. Yarowsky showed that the task can be done, with accuracy above 96%, with no labeled examples at all.",AI
"As another example, Hays and Efros (2007) discuss the problem of filling in holes in a photograph. Suppose you use Photoshop to mask out an ex-friend from a group photo, but now you need to fill in the masked area with something that matches the background. Hays and Efros defined an algorithm that searches through a collection of photos to find something that will match. They found the performance of their algorithm was poor when they used a collection of only ten thousand photos, but crossed a threshold into excellent performance when they grew the collection to two million photos. Work like this suggests that the “knowledge bottleneck” in AI—the problem of how to express all the knowledge that a system needs—may be solved in many applications by learn- ing methods rather than hand-coded knowledge engineering, provided the learning algorithms have enough data to go on (Halevy et al., 2009). Reporters have noticed the surge of new ap- plications and have written that “AI Winter” may be yielding to a new Spring (Havenstein, 2005). As Kurzweil (2005) writes, “today, many thousands of AI applications are deeply embedded in the infrastructure of every industry.”",AI
"Robotic vehicles: A driverless robotic car named STANLEY sped through the rough terrain of the Mojave dessert at 22 mph, finishing the 132-mile course first to win the 2005 DARPA Grand Challenge. STANLEY is a Volkswagen Touareg outfitted with cameras, radar, and laser rangefinders to sense the environment and onboard software to command the steer- ing, braking, and acceleration (Thrun, 2006). The following year CMU’s BOSS won the Ur- ban Challenge, safely driving in traffic through the streets of a closed Air Force base, obeying traffic rules and avoiding pedestrians and other vehicles. Speech recognition: A traveler calling United Airlines to book a flight can have the en- tire conversation guided by an automated speech recognition and dialog management system. Autonomous planning and scheduling: A hundred million miles from Earth, NASA’s Remote Agent program became the first on-board autonomous planning program to control the scheduling of operations for a spacecraft (Jonsson et al., 2000). REMOTE AGENT gen- erated plans from high-level goals specified from the ground and monitored the execution of those plans—detecting, diagnosing, and recovering from problems as they occurred. Succes- sor program MAPGEN (Al-Chang et al., 2004) plans the daily operations for NASA’s Mars Exploration Rovers, and MEXAR2 (Cesta et al., 2007) did mission planning—both logistics and science planning—for the European Space Agency’s Mars Express mission in 2008.",AI
"A key feature of our world is its uncertainty. Will it rain today? If we leave potato salad outdoors in the summer, what is the chance it will make us sick? If we collect a group of bears and measure their respiratory rates, how certain are we of their average respiratory rate? Atmospheric CO2 levels appear to be increasing; how certain are we that these changes represent a real trend? This is the stuff of statistics. Scientists must know how to sam- ple, organize, and describe the data, and say to what degree any answer reflects the larger popula- tion of interest. Statistics allows us to quantify the level of uncertainty about what we know and to make broader generalizations. According to Snedecor and Cochran (1989), sta- tistics includes the techniques for “collecting, ana- lyzing, and drawing conclusions from data.” Statistics, in some ways, is the study of uncertainty. Its goals include assigning probabilities to the reli- ability of estimates and conclusions, and to the like- lihood of future events. Statistics, at its best, is a formal way of thinking about the physical universe.",AI
"(McCarthy et al., 1955) made the assertion that “Every aspect of learning or any other feature of intelligence can be so precisely described that a machine can be made to simulate it.” Thus, AI was founded on the assumption that weak AI is possible. Others have asserted that weak AI is impossible: “Artificial intelligence pursued within the cult of computationalism stands not even a ghost of a chance of producing durable results” (Sayre, 1993). Clearly, whether AI is impossible depends on how it is defined. In Section 1.1, we de- fined AI as the quest for the best agent program on a given architecture. With this formulation, AI is by definition possible: for any digital architecture with k bits of program storage there are exactly 2k agent programs, and all we have to do to find the best one is enumerate and test them all. This might not be feasible for large k, but philosophers deal with the theoretical, not the practical.",AI
"Often the reason for such media fallacies lies in the source of information, like preliminary results presented at a scientific meeting, which the reporter may report with more certainty than the results should merit. A catchy headline in one media outlet can quickly be repeated by others and the number of headlines makes a story seem more real than it should be (the trending phenomenon). In some cases, one study with a differing set of results is pit- ted equally against a mountain of evidence from many other studies to provide a counterpoint (con- flict is inherently more appealing than agreement). The best media reports include both the source for their information, as well as some numerical infor- mation to provide appropriate context. A firm un- derstanding of statistics provides the reader with a healthy bit of skepticism, allowing one to sort out the weak from the strong conclusions. Readers of scientific literature regularly see sta- tistics. Pick up any professional journal, whether it focuses on molecular biology or ecology, and you are bound to run across statistics. In all of these fields, statistics is used by scientists to organize and describe data and to help evaluate the results from experiments and observational surveys. Physiolo- gists use regression models to explore the response of metabolic rates on temperature. Multivariate procedures are used with gene sequence data to ex- plore the evolutionary relationships within taxo- nomic groups such as apes, flowering plants, and influenza viruses. Statistics is an important tool for public health, helping",STAT
"Statistics is also widely used in product safety, through guiding the effi- cient sampling of food for pathogenic microbes or in setting appropriate standards of quality. Practicing scientists use statistical procedures at all stages of their research. One use of statistics is to provide a summary of quantitative data. Graphs and tables are employed in most of the chapters in this book. Descriptive statistics reduce a mass of numbers to something more comprehensible, illus- trating both the average and variation (chapter 4). A very important use of statistics is statistical infer- ence: making conclusions about properties of a broader population based on a sample from that population. Inference includes estimation, in which we determine with a specified degree of uncer- tainty some population characteristic (chapter 9). Inference also includes hypothesis testing (chapter 6), in which we use observable data to answer a particular question about a group of interest. Does the growth rate of white oak trees increase with ele- vated CO2 concentration in the air? Has the world- wide incidence of influenza gone down since the introduction of the flu vaccine? Only statistical hy- pothesis testing can provide the answer. Without it, we are just stating opinions. Baseball has descrip- tive statistics, but no hypothesis testing, leading to endless arguments about what the numbers mean.",STAT
"Many scientists now use statistical computer programs to generate the random numbers. At the end of this chapter (immediately after exercises), you will find Applications in R, where we illus- trate the same numerical example using R. This is a versatile computer package that is free and widely used. General directions for obtaining and using R are given in appendix C, in the back of the book. This general procedure for collecting a simple random sample can be applied to a variety of situa- tions. For example, we might want to sample from a list of patients in a clinic; simply give each patient an ID number (here N is the total number of pa- tients). We could do the same procedure for sam- pling different batches of food for bacteria checks or selecting particular hours during the week to collect air quality measurements in a city. By now, you may be saying that this random- ization procedure seems like a lot of work. How- ever, collecting truly random samples is generally not possible any other way. (Closing your eyes and pointing to locations on the map is not truly ran- dom; this process is haphazard.) After some prac- tice, this procedure gets easier. One useful bit of advice: create your random number list before going into the field (or the lab). This procedure is more easily done in your office than in the car or at the lab bench!",STAT
"Before we get too far with statistics, it’s impor- tant that we develop a common vocabulary about the sorts of things that we measure and count, as well as about how the data that are generated can be organized. In this chapter we will first examine the different sorts of variables encountered in statistics and how they are represented. We will then explore how numerical data are manipulated and inter- preted. Finally, we will describe best practices for data management that will enhance the reliability of your own work and help maintain data access for future users. These practices are an important foun- dation for all students and practitioners of science. Variables can be classified by the sort of infor- mation that is recorded (categories or measure- ments) and also by whether changes in one variable may cause changes in another variable. We discuss each of these situations in the sections below. Variables that include only groups and not measurements are called categorical variables. These are classes of objects into which we can place an individual. Categorical variables can be, in turn, either attributes or ranks. Attributes lack any par- ticular logical order and include such properties as gender (male or female), political affiliation, and whether or not an individual ate a particular food at a picnic. Attributes are also sometimes called nomi- nal variables (names). ",STAT
"Rescaling a graph (such as placing the original values on log scale) is equivalent to doing a log transformation on the original data. If you are not convinced, try doing that with the numbers in ex- ample 2.1; plot [H+] on log scale against log10[H+] on linear scale. Do you get a straight line? There are many biological examples of continu- ous measurements that require log transformation prior to statistical analysis. The sizes of organisms in natural populations often have odd distributions. The bulk of the population is composed of small in- dividuals, but also includes a few individuals that are much larger (and therefore more influential in the population). To adequately analyze such data, it is often necessary to do a log transformation. A good example is plant size, as shown in example 2.3 below. Mathematical transformations are frequently used during statistical analyses in order to correct data for a failure to meet an assumption necessary for the test. You will see more about that topic later in the book (sections 8.4 and 11.4).",STAT
"Often, variables are described in terms of how we think they interact with other variables (the stuff of hypothesis testing!). Response variables are those whose variation we suspect depends on some other variable, called an explanatory variable (sometimes called predictor variable). For instance, suppose a microbiologist is interested in testing whether bacte- rial growth rate is affected by choice of carbon source; after incubating the bacteria in two different media (glucose and sucrose), she compares cell counts. Here the response variable is cell count and the explanatory variable is the medium. As another example, using regression analysis (chapter 14), a pharmacologist could test the influence of drug dos- age on blood pressure. Here, blood pressure is the response variable and drug dosage the predictor variable. You may have previously heard them re- ferred to as dependent and independent variables, respectively. However, these latter terms have other meanings and so are best avoided for the usage here. In any data analysis for hypothesis tests, choos- ing the correct statistical procedure depends on knowing both the types of variables involved (table 2.1) and which variable type is explanatory and which is response. You will see many examples throughout the book and later review this proce- dure in chapter 15.",STAT
"Quite often, data are lost for some reason or an- other. A sample was dumped, the equipment didn’t work that day, or the animal died. What should ap- pear in the spreadsheet? Don’t type a zero, since missing information is different from a value of zero. Don’t leave the cell blank; a blank may con- fuse others into thinking that you made a transcrip- tion error. Furthermore, some kinds of software interpret blanks as zeros. It’s best to type in a miss- ing data indicator, such as NA (not available). Doc- umentation for computer statistical programs generally describe what they expect to see for miss- ing data; for instance, R uses NA as its standard coding, while SAS uses a “.” and Minitab “*” for missing data indicators. In any case, the code for missing data should always be included as part of the metadata (section 2.6.1). Values that are extremely different from the ma- jority of values are called outliers. Some outliers are real, simply much larger or much smaller in value than is typical in nature (e.g., some people really are eight feet tall). But some outliers are due to error and so it’s very important to spot outliers early.",STAT
"Record clear metadata at an early stage of your investigation and keep this information in at least two places (e.g., a data notebook and typed into a place in an Excel file that is stored on a laptop and copied to “The Cloud”). You can easily add a text box to your spreadsheet where you place all the pertinent information, such as units of measure for each variable and explanations of variable names and any missing values. You can also note here if the data were checked (when and by whom). This level of documentation may seem like overkill, but it is always better to document more than you will ever need than it is to wonder what you were think- ing six weeks or six years ago. Start analyzing data right away. At the very least, do some plots and descriptive statistics that al- low you to see trends in the data. You may detect er- rors in procedures that can be corrected before you invest too much time in a project that isn’t going anywhere. Many beginning scientists have wasted months of work because of a silly mistake that could have been fixed early had they looked at their data.",STAT
"Large quantities of data are generally difficult to interpret by themselves without some method of assistance. Since humans are inherently visual or- ganisms, it makes sense that we rely on visual assis- tance for understanding and interpreting data. In this chapter and in the next on descriptive statistics, we consider some basic techniques for organizing and presenting data to make them more readily un- derstandable. Tables and graphs are widely used for data exploration by investigators and also to display summary data in published literature. In this chapter, we introduce some basic principles for presenting summary data, examine some graph types commonly used in biological reports, and de- scribe how to prepare frequency distributions as ta- bles and as graphs. Instructions for using R code to create graphs are given in Applications in R (fol- lowing the chapter 3 exercises). Similar graphs may be made in many other programs. Organizing numerical data into logical and clear tables and graphs is an essential first step in any data analysis. Such displays help researchers view trends in the data, check assumptions about underlying distributions (e.g., normality, section 8.4), and catch mathematical or data entry errors. Thus, a general rule of thumb is to always plot your data. By violating this simple rule, one runs the risk of having to repeat a large suite of analyses when mistakes could have been easily avoided.",STAT
"Figure 3.2A shows that the two different com- ponents of ACT scores appear to be correlated with each other; in other words, students scoring high on the verbal portion of the ACT tend to also score high on the quantitative portion. We wouldn’t want to say that one causes the other; more likely, stu- dents with high scores on one part of the exam have the intellectual abilities and study skills that con- tribute to high scores on the other part. Figure 3.2B shows the dependent relationship of fish metabolic rate (the response variable) on environmental tem- perature in experimental chambers (the explana- tory variable). The strong dependence of metabolic rate on temperature implies a causal relationship in these ectothermic organisms. Notice that the regres- sion line is shown on graph B, but not on graph A, where there is no causal relationship implied and only the broad pattern is of interest. Notice also that for graph B, the response variable is plotted on the vertical axis and the explanatory variable on the horizontal axis. This choice of axes is the conven- tion for such regression data. In contrast, for corre- lation-type graphs it doesn’t matter which variable is plotted on which axis. Similar graphs are em- ployed in chapters 13 and 14, where they provide supporting visual evidence for formal statistical tests (correlation and regression analysis).",STAT
"Most statistical programs have graphing capa- bilities. After you have organized and plotted a cou- ple of histograms by hand, you will appreciate this time-saver! The graphs in figure 3.5 were generated with R, using the raw data from table 3.4. In Appli- cations in R (after the chapter 3 exercises), you will find instructions for creating a histogram with R, in- cluding the coding that generated figure 3.5B. Com- puter programs such as R can be very handy tools for creating histograms, allowing for easy changes in the number of bins for the data. That allows lots of trial and error when creating graphs. Excel can also generate nice histograms if you install the Data Analysis “Add-in” under Options. If we measure a characteristic of a number of individuals in a population, we usually find that the measurement differs among individuals. Gener- ally, there is a certain value around which our mea- surements tend to cluster. Statistics gives us ways to describe this central tendency and to describe the variation of individuals from this point. In this chapter we consider several ways to describe the central tendency and the variation around it.",STAT
"It would be quite unusual indeed to have all of a population available for measurement, perhaps only for the rarest of endangered species. Even if we had the complete population at hand, we might not want to go to all the trouble of measuring so many individuals. Accordingly, we can calculate as- pects of central tendency and variation using a ran- dom sample from the population of interest (section 1.2) and use them to estimate the population’s val- ues. These values in the population as a whole are called parameters,1 and they are usually unknown. In a sample they are called statistics. The central tendency of a sample (or a popula- tion) is the value around which observations tend to cluster. Several statistics can be used to describe central tendency. Which statistic is most appropri- ate depends on the type of variable we have and on the shape of its underlying distribution. For cate- gorical variables, both the proportion and mode are useful measures of central tendency.",STAT
"In the table, examine the values for the mean, median, minimum, and maximum in the cow milk data and confirm that they are the same as what we determined by hand or by inspecting the ordered list (example 4.6). Notice the values reported for the first and third quartiles, which dif- fer slightly from our quick approxi- mation method. Sample size is indicated by the term “length.”4 Consider again the data on fe- male mosquito fish that you ana- lyzed above. The mean for this sample is 34.29 mm (table 4.2). Notice in figure 4.4 that this value is near the center of the distribution. Furthermore, because of the skewed shape of the distribution, the most frequently occurring size class (mode = 29) is smaller than the mean value and the median (33) falls between the mean and the mode. Refer again to figure 4.2; do the relative positions of these estimates follow our expectation for a right-skewed distribution? We have determined a variety of statistics for central tendency and other locations in a sample distribution. We are now ready to consider the vari- ation within a dataset, the stuff that makes statistics necessary and, quite honestly, most interesting!",STAT
